Player,Number seasons,Games played,At bats,Runs,Hits,Doubles,Triples,Home runs,RBIs,Walks,Strikeouts,Batting average,On base pct,Slugging pct,Fielding ave,Position,Hall of Fame
DALE LONG,10,1013,3020,384,805,135,33,132,467,353,460,0.267,0.345,0.464,0.988,First base,0
STAN LOPATA,13,853,2601,375,661,116,25,116,397,393,497,0.254,0.354,0.452,0.986,Catcher,0
DAVEY LOPES,16,1812,6354,1023,1671,232,50,155,614,833,852,0.263,0.351,0.388,0.977,Second base,0
AL LOPEZ,19,1950,5916,613,1547,206,43,51,652,556,538,0.261,0.326,0.337,0.985,Catcher,0
HECTOR LOPEZ,12,1450,4644,623,1251,193,37,136,591,418,696,0.269,0.333,0.415,0.967,Outfield,0
BOBBY LOWE,18,1818,7064,1131,1929,230,85,71,984,473,213,0.273,0.325,0.36,0.95,Second base,0
JOHN LOWENSTEIN,16,1368,3476,510,881,137,18,116,441,446,596,0.253,0.34,0.403,0.984,Outfield,0
PEANUTS LOWREY,13,1401,4317,564,1177,186,45,37,479,403,226,0.273,0.336,0.362,0.983,Outfield,0
GREG LUZINSKI,15,1821,6505,880,1795,344,24,307,1128,845,1495,0.276,0.366,0.478,0.972,Outfield,0
JERRY LYNCH,13,1184,2879,364,798,123,34,115,470,224,416,0.277,0.331,0.463,0.964,Outfield,0
FRED LYNN,17,1969,6925,1063,1960,388,43,306,1111,857,1116,0.283,0.364,0.484,0.988,Outfield,0
DENNY LYONS,13,1121,4294,932,1333,244,69,62,569,621,212,0.31,0.407,0.443,0.882,Third base,0
CONNIE MACK,11,723,2695,391,659,79,28,5,265,169,127,0.245,0.305,0.3,0.927,Catcher,0
ELLIOTT MADDOX,11,1029,2843,360,742,121,16,18,234,409,358,0.261,0.361,0.334,0.989,Outfield,0
GARRY MADDOX,15,1749,6331,777,1802,337,62,117,754,323,781,0.285,0.323,0.413,0.983,Outfield,0
BILL MADLOCK,15,1806,6594,920,2008,348,34,163,860,605,510,0.305,0.369,0.442,0.948,Third base,0
SHERRY MAGEE,16,2087,7441,1112,2169,425,166,83,1176,736,359,0.291,0.363,0.427,0.97,Outfield,0
HANK MAJESKI,13,1069,3421,404,956,181,27,57,501,299,260,0.279,0.342,0.398,0.968,Third base,0
FRANK MALZONE,12,1441,5428,647,1486,239,21,133,728,337,434,0.274,0.318,0.399,0.955,Third base,0
GUS MANCUSO,17,1460,4505,386,1194,197,16,53,543,418,264,0.265,0.328,0.351,0.977,Catcher,0
CLYDE MANION,13,477,1145,96,250,25,3,3,112,118,102,0.218,0.293,0.253,0.973,Catcher,0
LES MANN,16,1498,4716,677,1332,203,106,44,503,324,464,0.282,0.332,0.398,0.966,Outfield,0
RICK MANNING,13,1555,5248,664,1349,189,43,56,458,471,616,0.257,0.319,0.341,0.985,Outfield,0
FELIX MANTILLA,11,969,2707,360,707,97,10,89,330,256,352,0.261,0.331,0.403,0.977,Second base,0
MICKEY MANTLE,18,2401,8102,1677,2415,344,72,536,1509,1733,1710,0.298,0.423,0.557,0.982,Outfield,1
HEINIE MANUSH,17,2008,7654,1287,2524,491,160,110,1183,506,345,0.33,0.377,0.479,0.979,Outfield,2
RABBIT MARANVILLE,23,2670,10078,1255,2605,380,177,28,884,839,756,0.258,0.318,0.34,0.952,Shortstop,1
MARTY MARION,13,1572,5506,602,1448,272,37,36,624,470,537,0.263,0.323,0.345,0.969,Shortstop,0
ROGER MARIS,12,1463,5101,826,1325,195,42,275,851,652,733,0.26,0.348,0.476,0.982,Outfield,0
MIKE MARSHALL,11,1035,3593,433,971,173,8,148,530,247,810,0.27,0.324,0.446,0.978,Outfield,0
WILLARD MARSHALL,11,1246,4233,583,1160,163,39,130,604,458,219,0.274,0.347,0.423,0.979,Outfield,0
BILLY MARTIN,11,1021,3419,425,877,137,28,64,333,188,355,0.257,0.301,0.369,0.98,Second base,0
JERRY MARTIN,11,1018,2652,337,666,130,17,85,345,207,574,0.251,0.309,0.409,0.982,Outfield,0
PEPPER MARTIN,13,1189,4117,754,1227,270,75,59,501,369,438,0.298,0.358,0.443,0.973,Outfield,0
J.C. MARTIN,14,908,2189,189,487,82,12,32,230,201,299,0.222,0.293,0.315,0.987,Catcher,0
BUCK MARTINEZ,17,1049,2743,245,618,128,10,58,321,230,419,0.225,0.287,0.343,0.984,Catcher,0
PHIL MASI,14,1229,3468,420,917,164,31,47,417,410,311,0.264,0.344,0.37,0.983,Catcher,0
EDDIE MATHEWS,17,2391,8537,1509,2315,354,72,512,1453,1444,1487,0.271,0.378,0.509,0.956,Third base,1
GARY MATTHEWS,16,2033,7147,1083,2011,319,51,234,978,940,1125,0.281,0.367,0.439,0.968,Outfield,0
DAL MAXVILL,14,1423,3443,302,748,79,24,6,252,370,538,0.217,0.295,0.259,0.973,Shortstop,0
CHARLIE MAXWELL,14,1133,3245,478,856,110,26,148,532,484,545,0.264,0.363,0.451,0.988,Outfield,0
CARLOS MAY,10,1165,4120,545,1127,172,23,90,536,512,565,0.274,0.36,0.392,0.984,Outfield,0
DAVE MAY,12,1252,3670,462,920,130,20,96,422,344,501,0.251,0.32,0.375,0.978,Outfield,0
JERRY MAY,10,556,1527,120,357,63,10,15,130,157,293,0.234,0.31,0.318,0.99,Catcher,0
LEE MAY,18,2071,7609,959,2031,340,31,354,1244,487,1570,0.267,0.315,0.459,0.994,First base,0
MILT MAY,15,1192,3693,313,971,147,11,77,443,305,361,0.263,0.321,0.371,0.986,Catcher,0
JOHN MAYBERRY,15,1620,5447,733,1379,211,19,255,879,881,810,0.253,0.363,0.439,0.994,First base,0
LEE MAYE,13,1288,4048,533,1109,190,39,94,419,282,481,0.274,0.324,0.41,0.97,Outfield,0
WILLIE MAYS,22,2992,10881,2062,3283,523,140,660,1903,1464,1526,0.302,0.387,0.557,0.981,Outfield,1
BILL MAZEROSKI,17,2163,7755,769,2016,294,62,138,853,447,706,0.26,0.302,0.367,0.983,Second base,2
LEE MAZZILLI,14,1475,4124,571,1068,191,24,93,460,642,627,0.259,0.361,0.385,0.986,Outfield,0
JIMMY McALEER,13,1020,3977,619,1006,114,39,12,469,365,290,0.253,0.322,0.31,0.944,Outfield,0
DICK McAULIFFE,16,1763,6185,888,1530,231,71,197,697,882,974,0.247,0.344,0.403,0.977,Second base,0
BAKE McBRIDE,11,1071,3853,548,1153,167,55,63,430,248,457,0.299,0.348,0.42,0.989,Outfield,0
GEORGE McBRIDE,16,1659,5526,516,1203,140,47,7,447,419,271,0.218,0.281,0.264,0.948,Shortstop,0
JACK McCARTHY,12,1091,4195,550,1203,171,66,7,474,268,13,0.287,0.333,0.364,0.946,Outfield,0
JOHNNY McCARTHY,11,542,1557,182,432,72,16,25,209,90,114,0.277,0.319,0.392,0.99,First base,0
TOMMY McCARTHY,13,1275,5128,1069,1496,192,53,44,666,537,163,0.292,0.364,0.376,0.897,Outfield,2
TIM McCARVER,21,1909,5529,590,1501,242,57,97,645,548,422,0.271,0.34,0.388,0.99,Catcher,0
FRANK McCORMICK,13,1534,5723,722,1711,334,26,128,951,399,189,0.299,0.348,0.434,0.995,First base,0
MIKE McCORMICK,10,748,2325,302,640,100,29,14,215,188,173,0.275,0.33,0.361,0.976,Outfield,0
BARRY McCORMICK,10,989,3645,433,867,110,42,15,417,280,30,0.238,0.297,0.303,0.885,Third base,0
BARNEY McCOSKY,11,1170,4172,664,1301,214,71,24,397,497,261,0.312,0.386,0.414,0.984,Outfield,0
WILLIE McCOVEY,22,2588,8197,1229,2211,353,46,521,1555,1345,1550,0.27,0.377,0.515,0.987,First base,1
TOMMY McCRAW,13,1468,3956,484,972,150,42,75,404,332,544,0.246,0.311,0.362,0.991,First base,0
CLYDE McCULLOUGH,15,1098,3121,308,785,121,28,52,339,265,398,0.252,0.314,0.358,0.984,Catcher,0
HARRY McCURDY,10,543,1157,148,326,71,12,9,148,129,108,0.282,0.355,0.387,0.97,Catcher,0
GIL McDOUGALD,10,1336,4676,697,1291,187,51,112,576,559,623,0.276,0.358,0.41,0.984,Second base,0
ED McFARLAND,14,894,3007,398,826,146,49,13,383,254,19,0.275,0.335,0.369,0.967,Catcher,0
DAN McGANN,12,1436,5222,842,1482,181,100,42,727,429,10,0.284,0.362,0.381,0.989,First base,0
CHIPPY McGARR,10,826,3253,537,872,116,28,9,294,183,157,0.268,0.31,0.329,0.903,Third base,0
JOHN McGRAW,16,1099,3924,1024,1309,121,70,13,462,836,74,0.334,0.465,0.41,0.9,Third base,0
DEACON McGUIRE,26,1781,6290,770,1749,300,79,45,787,515,214,0.278,0.341,0.372,0.938,Catcher,0
STUFFY McINNIS,19,2128,7822,872,2405,312,101,20,1062,380,189,0.307,0.343,0.381,0.993,First base,0
MATTY McINTYRE,10,1072,3958,562,1066,140,69,4,319,439,.,0.269,0.346,0.343,0.964,Outfield,0
ED McKEAN,13,1654,6890,1227,2083,272,158,66,1070,635,157,0.302,0.364,0.416,0.9,Shortstop,0
BILL McKECHNIE,11,846,2843,319,713,86,33,8,240,190,199,0.251,0.301,0.313,0.952,Third base,0
LARRY McLEAN,13,862,2647,183,694,90,26,6,298,136,79,0.262,0.3,0.323,0.973,Catcher,0
MARTY McMANUS,15,1831,6660,1008,1926,401,88,120,996,675,558,0.289,0.357,0.43,0.965,Second base,0
ROY McMILLAN,16,2093,6752,739,1639,253,35,68,594,665,711,0.243,0.316,0.321,0.972,Shortstop,0
KEN McMULLEN,16,1583,5131,568,1273,172,26,156,606,510,815,0.248,0.318,0.383,0.961,Third base,0
ERIC McNAIR,14,1251,4519,592,1240,229,29,82,633,261,328,0.274,0.318,0.392,0.949,Shortstop,0
MIKE McNALLY,10,492,1078,169,257,16,6,1,85,92,97,0.238,0.299,0.267,0.946,Second base,0
BID McPHEE,18,2135,8291,1678,2250,303,188,53,727,981,229,0.271,0.355,0.372,0.944,Second base,2
GEORGE McQUINN,12,1550,5747,832,1588,315,64,135,794,712,634,0.276,0.357,0.424,0.992,First base,0
HAL McRAE,19,2084,7218,940,2091,484,66,191,1097,648,779,0.29,0.355,0.454,0.966,Designated hitter,0
JOE MEDWICK,17,1984,7635,1198,2471,540,113,205,1383,437,551,0.324,0.362,0.505,0.98,Outfield,1
SAM MELE,10,1046,3437,406,916,168,39,80,544,311,342,0.267,0.329,0.408,0.985,Outfield,0
SKI MELILLO,12,1377,5063,590,1316,210,64,22,548,327,306,0.26,0.306,0.34,0.973,Second base,0
BILL MELTON,10,1144,3971,496,1004,162,9,160,591,479,669,0.253,0.34,0.419,0.949,Third base,0
DENIS MENKE,13,1598,5071,605,1270,225,40,101,606,698,853,0.25,0.346,0.37,0.961,Shortstop,0
FRED MERKLE,16,1638,5782,720,1580,290,82,60,733,454,583,0.273,0.331,0.383,0.985,First base,0
SAM MERTES,10,1190,4405,695,1227,188,108,40,721,422,10,0.279,0.346,0.398,0.938,Outfield,0
CATFISH METKOVICH,10,1055,3585,476,934,167,36,47,373,307,359,0.261,0.323,0.367,0.976,Outfield,0
ROGER METZGER,11,1219,4201,453,972,101,71,5,254,355,449,0.231,0.293,0.293,0.976,Shortstop,0
IRISH MEUSEL,11,1289,4900,701,1521,250,93,106,819,269,199,0.31,0.348,0.464,0.959,Outfield,0
BOB MEUSEL,11,1407,5475,826,1693,368,95,156,1067,375,619,0.309,0.356,0.497,0.958,Outfield,0
DAN MEYER,12,1118,3734,411,944,153,31,86,459,219,277,0.253,0.296,0.379,0.991,First base,0
GENE MICHAEL,10,973,2806,249,642,86,12,15,226,234,421,0.229,0.29,0.284,0.962,Shortstop,0
CASS MICHAELS,12,1288,4367,508,1142,147,46,53,501,566,406,0.262,0.349,0.353,0.973,Second base,0
EDDIE MIKSIS,14,1042,3053,383,722,95,17,44,228,215,313,0.236,0.288,0.322,0.962,Second base,0
CLYDE MILAN,16,1982,7359,1004,2100,240,105,17,617,685,197,0.285,0.353,0.353,0.953,Outfield,0
LARRY MILBOURNE,11,989,2448,290,623,71,24,11,184,133,176,0.254,0.295,0.317,0.974,Second base,0
FELIX MILLAN,12,1480,5791,699,1617,229,38,22,403,318,242,0.279,0.324,0.343,0.98,Second base,0
BING MILLER,16,1820,6212,946,1936,389,96,116,990,383,340,0.312,0.359,0.461,0.971,Outfield,0
EDDIE MILLER,14,1510,5337,539,1270,263,28,97,640,351,465,0.238,0.29,0.352,0.972,Shortstop,0
DOGGIE MILLER,13,1317,5167,839,1380,192,57,33,518,467,129,0.267,0.333,0.345,0.918,Catcher,0
DOTS MILLER,12,1589,5805,711,1526,232,108,32,715,391,454,0.263,0.314,0.357,0.988,First base,0
OTTO MILLER,13,927,2836,229,695,97,33,5,231,104,301,0.245,0.275,0.308,0.973,Catcher,0
NORM MILLER,10,540,1364,166,325,68,10,24,159,160,265,0.238,0.325,0.356,0.972,Outfield,0
RICK MILLER,15,1482,3887,552,1046,161,35,28,369,454,583,0.269,0.348,0.35,0.986,Outfield,0
JOCKO MILLIGAN,10,772,2964,440,848,189,50,49,363,210,133,0.286,0.341,0.433,0.93,Catcher,0
JOHN MILNER,12,1215,3436,455,855,140,16,131,498,504,473,0.249,0.347,0.413,0.991,First base,0
DON MINCHER,13,1400,4026,530,1003,176,16,200,643,606,668,0.249,0.351,0.45,0.99,First base,0
MINNIE MINOSO,17,1835,6579,1136,1963,336,83,186,1023,814,584,0.298,0.391,0.459,0.974,Outfield,0
DALE MITCHELL,11,1127,3984,555,1244,169,61,41,403,346,119,0.312,0.368,0.416,0.985,Outfield,0
GEORGE MITTERWALD,11,887,2645,251,623,93,7,76,301,222,607,0.236,0.298,0.362,0.987,Catcher,0
JOHNNY MIZE,15,1884,6443,1118,2011,367,83,359,1337,856,524,0.312,0.397,0.562,0.992,First base,2
RICK MONDAY,19,1986,6136,950,1619,248,64,241,775,924,1513,0.264,0.362,0.443,0.979,Outfield,0
DON MONEY,16,1720,6215,798,1623,302,36,176,729,600,866,0.261,0.33,0.406,0.968,Third base,0
WILLIE MONTANEZ,14,1632,5843,645,1604,279,25,139,802,465,751,0.275,0.331,0.402,0.992,First base,0
BOB MONTGOMERY,10,387,1185,125,306,50,8,23,156,64,268,0.258,0.3,0.372,0.983,Catcher,0
WALLY MOON,12,1457,4843,737,1399,212,60,142,661,644,591,0.289,0.374,0.445,0.978,Outfield,0
CHARLIE MOORE,15,1334,4033,456,1052,187,43,36,408,346,470,0.261,0.321,0.355,0.98,Catcher,0
GENE MOORE,14,1042,3543,497,958,179,53,58,436,317,401,0.27,0.333,0.4,0.975,Outfield,0
EDDIE MOORE,10,748,2474,360,706,108,26,13,257,272,121,0.285,0.359,0.366,0.956,Second base,0
JOHNNY MOORE,10,846,3013,439,926,155,26,73,452,195,176,0.307,0.352,0.449,0.97,Outfield,0
JO-JO MOORE,12,1335,5427,809,1615,258,53,79,513,348,247,0.298,0.344,0.408,0.975,Outfield,0
RANDY MOORE,10,749,2253,258,627,110,17,27,308,158,85,0.278,0.326,0.378,0.969,Outfield,0
TERRY MOORE,11,1298,4700,719,1318,263,28,80,513,406,368,0.28,0.34,0.399,0.985,Outfield,0
JOSE MORALES,12,733,1305,126,375,68,6,26,207,89,182,0.287,0.336,0.408,0.981,Designated hitter,0
JERRY MORALES,15,1441,4528,516,1173,199,36,95,570,366,567,0.259,0.316,0.382,0.983,Outfield,0
PAT MORAN,14,818,2634,198,618,102,24,18,262,142,36,0.235,0.283,0.312,0.976,Catcher,0
KEITH MORELAND,12,1306,4581,511,1279,214,14,121,674,405,515,0.279,0.339,0.411,0.979,Outfield,0
OMAR MORENO,12,1382,4992,699,1257,171,87,37,386,387,885,0.252,0.308,0.343,0.982,Outfield,0
JOE MORGAN,22,2649,9277,1650,2517,449,96,268,1133,1865,1015,0.271,0.395,0.427,0.981,Second base,1
GEORGE MORIARTY,13,1076,3671,372,920,147,32,5,376,234,59,0.251,0.303,0.312,0.931,Third base,0
JOHN MORRILL,15,1265,4912,821,1275,239,80,43,643,358,656,0.26,0.31,0.367,0.971,First base,0
JIM MORRISON,12,1089,3375,371,876,170,16,112,435,213,521,0.26,0.308,0.419,0.949,Third base,0
LLOYD MOSEBY,12,1588,5815,869,1494,273,66,169,737,616,1135,0.257,0.334,0.414,0.984,Outfield,0
JOHN MOSES,11,769,1723,247,438,69,17,11,145,143,226,0.254,0.315,0.333,0.99,Outfield,0
WALLY MOSES,17,2012,7356,1124,2138,435,110,89,679,821,457,0.291,0.364,0.416,0.973,Outfield,0
LES MOSS,13,824,2234,210,552,75,4,63,276,282,316,0.247,0.333,0.369,0.978,Catcher,0
JOHNNY MOSTIL,10,972,3507,618,1054,209,82,23,376,415,336,0.301,0.386,0.427,0.971,Outfield,0
MANNY MOTA,20,1536,3779,496,1149,125,52,31,438,289,320,0.304,0.358,0.389,0.979,Outfield,0
MIKE MOWREY,13,1276,4291,485,1099,183,54,7,461,469,297,0.256,0.334,0.329,0.944,Third base,0
HEINIE MUELLER,11,693,2118,296,597,87,37,22,272,168,147,0.282,0.342,0.389,0.96,Outfield,0
DON MUELLER,12,1245,4364,499,1292,139,37,65,520,167,146,0.296,0.324,0.39,0.982,Outfield,0
RAY MUELLER,14,985,2911,281,733,123,23,56,373,250,322,0.252,0.314,0.368,0.988,Catcher,0
PAT MULLIN,10,864,2493,381,676,106,43,87,385,330,312,0.271,0.358,0.453,0.97,Outfield,0
RANCE MULLINIKS,16,1325,3569,445,972,226,17,73,435,460,555,0.272,0.357,0.407,0.961,Third base,0
JOE MULVEY,12,987,4063,598,1059,157,70,29,532,134,257,0.261,0.287,0.355,0.871,Third base,0
JERRY MUMPHREY,15,1585,4993,660,1442,217,55,70,575,478,688,0.289,0.351,0.396,0.981,Outfield,0
THURMAN MUNSON,11,1423,5344,696,1558,229,32,113,701,438,571,0.292,0.35,0.41,0.982,Catcher,0
BOBBY MURCER,17,1908,6730,972,1862,285,45,252,1043,862,841,0.277,0.361,0.445,0.981,Outfield,0
DANNY MURPHY,16,1496,5399,705,1563,289,102,44,702,335,24,0.289,0.336,0.405,0.953,Second base,0
DWAYNE MURPHY,12,1360,4347,648,1069,139,20,166,609,747,953,0.246,0.359,0.402,0.987,Outfield,0
MORGAN MURPHY,11,566,1967,247,443,56,12,10,227,157,237,0.225,0.287,0.281,0.936,Catcher,0
EDDIE MURRAY,16,2444,9124,1343,2646,462,32,414,1562,1147,1224,0.29,0.37,0.484,0.993,First base,0
RED MURRAY,11,1264,4334,555,1170,168,96,37,579,299,194,0.27,0.323,0.379,0.95,Outfield,0
IVAN MURRELL,10,564,1306,126,308,41,15,33,123,44,342,0.236,0.266,0.366,0.965,Outfield,0
STAN MUSIAL,22,3026,10972,1949,3630,725,177,475,1951,1599,696,0.331,0.418,0.559,0.984,Outfield,1
GLENN MYATT,16,1004,2678,346,722,137,37,38,387,248,195,0.27,0.334,0.391,0.974,Catcher,0
BUDDY MYER,17,1923,7038,1174,2131,353,130,38,850,965,428,0.303,0.389,0.406,0.974,Second base,0
HY MYERS,14,1310,4910,555,1380,179,100,32,559,195,358,0.281,0.312,0.378,0.972,Outfield,0
HAL NARAGON,10,424,985,83,262,27,11,6,87,76,62,0.266,0.323,0.334,0.991,Catcher,0
BILLY NASH,15,1549,5849,1072,1606,266,87,60,977,803,383,0.275,0.366,0.381,0.897,Third base,0
TOM NEEDHAM,11,523,1491,113,311,50,10,8,117,109,49,0.209,0.274,0.272,0.962,Catcher,0
DAVE NELSON,10,813,2578,340,630,77,19,20,211,220,392,0.244,0.307,0.312,0.976,Second base,0
GRAIG NETTLES,22,2700,8986,1193,2225,328,28,390,1314,1088,1209,0.248,0.332,0.421,0.961,Third base,0
SKEETER NEWSOME,12,1128,3716,381,910,164,15,9,292,246,194,0.245,0.293,0.304,0.959,Shortstop,0
BILL NICHOLSON,16,1677,5546,837,1484,272,60,235,948,800,828,0.268,0.365,0.465,0.979,Outfield,0
HUGH NICOL,10,888,3465,631,813,91,29,5,135,337,88,0.235,0.307,0.282,0.912,Outfield,0
BOB NIEMAN,12,1113,3452,455,1018,180,32,125,544,435,512,0.295,0.375,0.474,0.975,Outfield,0
RUSS NIXON,12,906,2504,215,670,115,19,27,266,154,279,0.268,0.313,0.361,0.988,Catcher,0
JOE NOLAN,11,621,1454,156,382,66,10,27,178,164,183,0.263,0.34,0.378,0.984,Catcher,0
IRV NOREN,11,1093,3119,443,857,157,35,65,453,335,350,0.275,0.349,0.41,0.984,Outfield,0
BILLY NORTH,11,1169,3900,640,1016,120,31,20,230,627,665,0.261,0.366,0.323,0.981,Outfield,0
RON NORTHEY,12,1084,3172,385,874,172,28,108,513,361,297,0.276,0.352,0.45,0.972,Outfield,0
JIM NORTHRUP,12,1392,4692,603,1254,218,42,153,610,449,635,0.267,0.335,0.429,0.981,Outfield,0
LES NUNAMAKER,12,716,1990,194,533,75,30,2,216,176,150,0.268,0.332,0.339,0.972,Catcher,0
JOHNNY OATES,11,593,1637,146,410,56,2,14,126,141,149,0.25,0.311,0.313,0.987,Catcher,0
KEN OBERKFELL,16,1602,4874,558,1354,237,44,29,446,546,356,0.278,0.353,0.362,0.965,Third base,0
DANNY O'CONNELL,10,1143,4035,527,1049,181,35,39,320,431,396,0.26,0.335,0.351,0.98,Second base,0
JACK O'CONNOR,21,1451,5380,713,1417,201,66,19,671,301,152,0.263,0.307,0.336,0.917,Catcher,0
KEN O'DEA,12,832,2195,262,560,101,20,40,323,273,251,0.255,0.338,0.374,0.983,Catcher,0
LEFTY O'DOUL,11,970,3264,624,1140,175,41,113,542,333,122,0.349,0.413,0.532,0.964,Outfield,0
RON OESTER,13,1276,4214,458,1118,190,33,42,344,369,681,0.265,0.325,0.356,0.98,Second base,0
BOB O'FARRELL,21,1492,4101,517,1120,201,58,51,549,547,408,0.273,0.36,0.388,0.976,Catcher,0
ROWLAND OFFICE,11,899,2413,259,626,101,11,32,242,189,311,0.259,0.317,0.35,0.985,Outfield,0
BEN OGLIVIE,16,1754,5913,784,1615,277,33,235,901,560,852,0.273,0.34,0.45,0.978,Outfield,0
RUBE OLDRING,13,1239,4690,616,1268,205,76,27,471,206,125,0.27,0.307,0.364,0.966,Outfield,0
CHARLEY O'LEARY,11,955,3232,317,731,104,18,3,213,164,34,0.226,0.27,0.272,0.935,Shortstop,0
TONY OLIVA,15,1676,6301,870,1917,329,48,220,947,448,645,0.304,0.356,0.476,0.975,Outfield,0
AL OLIVER,18,2368,9049,1189,2743,529,77,219,1326,535,756,0.303,0.348,0.451,0.98,Outfield,0
GENE OLIVER,10,786,2216,268,546,111,5,93,320,215,420,0.246,0.317,0.427,0.985,Catcher,0
IVY OLSON,14,1574,6111,730,1575,191,69,13,446,285,222,0.258,0.295,0.318,0.932,Shortstop,0
TIP O'NEILL,10,1054,4255,880,1386,222,92,52,435,421,146,0.326,0.392,0.458,0.917,Outfield,0
STEVE O'NEILL,17,1590,4795,448,1259,248,34,13,537,592,383,0.263,0.349,0.337,0.972,Catcher,0
FRANK O'ROURKE,14,1131,4069,547,1032,196,42,15,430,314,377,0.254,0.315,0.333,0.949,Third base,0
JIM O'ROURKE,19,1774,7435,1446,2304,414,132,50,1010,481,348,0.31,0.355,0.42,0.898,Outfield,2
JORGE ORTA,16,1755,5829,733,1619,267,63,130,745,500,715,0.278,0.338,0.412,0.974,Second base,0
AMOS OTIS,17,1998,7299,1092,2020,374,66,193,1007,757,1008,0.277,0.347,0.425,0.991,Outfield,0
MEL OTT,22,2730,9456,1859,2876,488,72,511,1860,1708,896,0.304,0.414,0.533,0.98,Outfield,1
JIMMY OUTLAW,10,650,1974,257,529,79,17,6,184,188,176,0.268,0.333,0.334,0.972,Outfield,0
MICKEY OWEN,13,1209,3649,338,929,163,21,14,378,326,181,0.255,0.318,0.322,0.982,Catcher,0
TOM PACIOREK,18,1392,4121,494,1162,232,30,86,503,245,704,0.282,0.328,0.415,0.979,Outfield,0
ANDY PAFKO,17,1852,6292,844,1796,264,62,213,976,561,477,0.285,0.351,0.449,0.984,Outfield,0
JOSE PAGAN,15,1326,3689,387,922,138,26,52,372,244,510,0.25,0.3,0.344,0.963,Shortstop,0
JIM PAGLIARONI,11,849,2465,269,622,98,7,90,326,330,494,0.252,0.346,0.407,0.991,Catcher,0
FREDDY PARENT,12,1327,4984,633,1306,180,74,20,471,333,.,0.262,0.315,0.34,0.927,Shortstop,0
DAVE PARKER,19,2466,9358,1272,2712,526,75,339,1493,683,1537,0.29,0.342,0.471,0.965,Outfield,0
LARRY PARRISH,15,1891,6792,850,1789,360,33,256,992,529,1359,0.263,0.321,0.439,0.941,Third base,0
DODE PASKERT,15,1716,6017,868,1613,279,77,42,577,715,659,0.268,0.35,0.361,0.969,Outfield,0
FREDDIE PATEK,14,1650,5530,736,1340,216,55,41,490,523,787,0.242,0.311,0.324,0.962,Shortstop,0
DON PAVLETICH,12,536,1373,163,349,73,8,46,193,148,237,0.254,0.33,0.42,0.983,Catcher,0
ROGER PECKINPAUGH,17,2012,7233,1006,1876,256,75,48,739,814,609,0.259,0.336,0.335,0.949,Shortstop,0
HEINIE PEITZ,16,1234,4121,532,1117,191,66,16,560,409,76,0.271,0.341,0.361,0.963,Catcher,0
JOE PEPITONE,12,1397,5097,606,1315,158,35,219,721,302,526,0.258,0.303,0.432,0.993,First base,0
TONY PEREZ,23,2777,9778,1272,2732,505,79,379,1652,925,1867,0.279,0.344,0.463,0.992,First base,1
MARTY PEREZ,10,931,3131,313,771,108,22,22,241,245,369,0.246,0.303,0.316,0.958,Shortstop,0
CY PERKINS,17,1171,3604,329,933,175,35,30,409,301,221,0.259,0.319,0.352,0.978,Catcher,0
JOHNNY PESKY,10,1270,4745,867,1455,226,50,17,404,662,218,0.307,0.394,0.386,0.964,Shortstop,0
RUSTY PETERS,10,471,1222,123,289,53,16,8,117,98,199,0.236,0.295,0.326,0.966,Second base,0
RICO PETROCELLI,13,1553,5390,653,1352,237,22,210,773,661,926,0.251,0.336,0.42,0.969,Shortstop,0
GARY PETTIS,11,1183,3629,568,855,109,49,21,259,521,958,0.236,0.333,0.31,0.986,Outfield,0
FRED PFEFFER,16,1670,6555,1094,1671,231,119,94,1019,527,498,0.255,0.312,0.369,0.92,Second base,0
ED PHELPS,11,633,1832,186,460,45,20,3,205,163,46,0.251,0.323,0.302,0.968,Catcher,0
BABE PHELPS,11,726,2117,239,657,143,19,54,345,160,157,0.31,0.362,0.472,0.974,Catcher,0
KEN PHELPS,11,761,1854,308,443,64,7,123,313,390,449,0.239,0.377,0.48,0.987,Designated hitter,0
DAVE PHILLEY,18,1904,6296,789,1700,276,72,84,729,594,551,0.27,0.335,0.377,0.981,Outfield,0
BUBBA PHILLIPS,10,1062,3278,348,835,135,8,62,356,182,314,0.255,0.3,0.358,0.96,Third base,0
MIKE PHILLIPS,11,712,1719,166,412,46,24,11,145,124,234,0.24,0.294,0.314,0.956,Shortstop,0
BILL PHILLIPS,10,1038,4255,562,1130,214,98,17,298,178,215,0.266,0.299,0.374,0.971,First base,0
VAL PICINICH,18,1037,2877,298,743,166,26,26,298,314,382,0.258,0.334,0.361,0.97,Catcher,0
JIM PIERSALL,17,1734,5890,811,1604,256,52,104,591,524,583,0.272,0.334,0.386,0.99,Outfield,0
LOU PINIELLA,18,1747,5867,651,1705,305,41,102,766,368,541,0.291,0.336,0.409,0.981,Outfield,0
GEORGE PINKNEY,10,1163,4610,874,1212,170,56,21,391,525,135,0.263,0.345,0.338,0.897,Third base,0
VADA PINSON,18,2469,9645,1366,2757,485,127,256,1170,574,1196,0.286,0.33,0.442,0.981,Outfield,0
WALLY PIPP,15,1872,6914,974,1941,311,148,90,996,596,551,0.281,0.341,0.408,0.992,First base,0
BILL PLUMMER,10,367,892,72,168,37,1,14,82,95,191,0.188,0.269,0.279,0.984,Catcher,0
